date,simple,exponential,triple_expo,double_expo,wilder,smooth,weighted,adaptive
2020-12-28,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
2020-12-29,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
